Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
25/01/1996,TITON HOLDINGS PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,7.85
30/11/2015,TLOU ENERGY LIMITED,Energy,Energy,Australia,Pacific,AIM ,Yes,17.57
11/10/2021,TMT ACQUISITION PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,5.09
10/12/2010,TMT INVESTMENTS PLC,Financials,Financial Services ,Jersey,Europe,AIM ,No,71.99
21/07/2011,TOMCO ENERGY PLC,Energy,Energy,Isle of Man,Europe,AIM ,No,6.85
10/05/2016,TOOPLE PLC,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET ,No,0.43
02/06/1997,TOPPS TILES PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,89.53
08/10/2021,TORTILLA MEXICAN GRILL PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,46.4
26/09/1973,TOTALENERGIES SE,Energy,Energy,France,Europe,MAIN MARKET ,Yes,"117,764.44"
01/04/2016,TOTALLY PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,32.36
24/10/2005,TOUCHSTAR PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,7.42
26/06/2017,TOUCHSTONE EXPLORATION INC,Energy,Energy,Canada,North America,AIM ,Yes,149.14
17/01/2006,TOWER RESOURCES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,5.33
21/09/1960,TOWN CENTRE SECURITIES PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,67.11
29/09/1999,TOYOTA MOTOR CORPORATION,Consumer Discretionary,Automobiles and Parts,Japan,Asia,MAIN MARKET ,Yes,"151,591.91"
26/02/2021,TP ICAP GROUP PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,"1,420.40"
04/12/2018,TPXIMPACT HOLDINGS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,25.73
31/07/2018,TRACKWISE DESIGNS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,3.47
05/08/2008,TRACSIS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,267.48
16/07/2013,TRAFALGAR PROPERTY GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,0.34
21/06/2019,TRAINLINE PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,"1,195.93"
29/11/2005,TRAKM8 HOLDINGS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,8.12
15/12/1999,TRANSENSE TECHNOLOGIES PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,13.51
19/09/1986,TRAVIS PERKINS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"2,032.44"
10/05/1989,TREATT PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,350.78
