Market,Date,Month,Year,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (Â£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650,Market_new,0,1,2,3
AIM,2023-03-30,2023-03-01,2023,ONWD,ONWARD OPPORTUNITIES LIMITED,New Company Placing,Guernsey,0.0,Not Identified,Not Identified,100.0,GBX,12.3,No Advisor,12.75,0,12.75,96.5,106.9000015258789,98.0,104.0,1353424.0,105.0,,,,,,,,0,1.0,0.0,0.0,0.0
UK Main Market,2023-02-28,2023-02-01,2023,DAR,DAR GLOBAL PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,3.33,USD,0,No Advisor,60.23,0,60.23,3.549999952316284,3.3299999237060547,3.3299999237060547,3.5999999046325684,27500.0,3.700000047683716,3.799999952316284,,,,,,,3,0.0,0.0,0.0,1.0
AIM,2023-02-14,2023-02-01,2023,FMET,FULCRUM METALS PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,17.5,GBX,0,No Advisor,3.0,0,3,19.0,18.799999237060547,17.649999618530273,18.25,292668.0,17.649999618530273,17.75,,,,,,,0,1.0,0.0,0.0,0.0
AIM,2023-01-30,2023-01-01,2023,CLA,CELSIUS RESOURCES LIMITED,New Company Placing,Australia,55102000.0,Industrial Metals and Mining,General Mining,0.8,GBX,0,Beaumont Cornish Limited,2.4,0,2.4,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.949999988079071,0.949999988079071,,,,,,,0,1.0,0.0,0.0,0.0
UK Main Market,2023-01-05,2023-01-01,2023,STK,STREAKS GAMING PLC,New Company Placing,United Kingdom,40203040.0,Leisure Goods,Electronic Entertainment,3.0,GBX,12.77,No Advisor,3.68,0,3.68,3.375,3.375,3.375,3.375,0.0,3.5,3.150000095367432,2.900000095367432,,,,,,3,0.0,0.0,0.0,1.0
UK Main Market,2022-12-21,2022-12-01,2022,MCI,MEDCAW INVESTMENTS PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,GBX,1.8,No Advisor,0.64,0,0.64,0.1049999967217445,0.1049999967217445,0.1049999967217445,0.1049999967217445,0.0,0.1049999967217445,0.0799999982118606,0.050000000745058,,,,,,3,0.0,0.0,0.0,1.0
AIM,2022-12-15,2022-12-01,2022,S247,SMARTTECH247 GROUP PLC,New Company Placing,United Kingdom,10101010.0,Software and Computer Services,Computer Services,29.66,GBX,37.22,SPARK Advisory Partners Limited,3.67,0,3.67,30.0,30.959999084472656,30.38999938964844,30.5,23239.0,30.0,29.5,34.5,,,,,,0,1.0,0.0,0.0,0.0
UK Main Market,2022-12-05,2022-12-01,2022,HELD,HELLENIC DYNAMICS PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.3,GBX,37.59,No Advisor,0.75,0,0.75,0.3000000119209289,0.3219999969005584,0.125,0.1509999930858612,62157649.0,0.1850000023841858,0.1379999965429306,0.0949999988079071,,,,,,3,0.0,0.0,0.0,1.0
UK Main Market,2022-11-30,2022-11-01,2022,DSI,DIAL SQUARE INVESTMENTS PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,5.0,GBX,1.99,No Advisor,0.52,0,0.52,7.5,10.0,10.0,7.5,100.0,7.0,0.025,3.25,,,,,,3,0.0,0.0,0.0,1.0
UK Main Market,2022-11-14,2022-11-01,2022,ITH,ITHACA ENERGY PLC,New Company Placing,United Kingdom,60101015.0,"Oil, Gas and Coal",Offshore Drilling and Other Services,250.0,GBX,2412.89,No Advisor,262.5,37.5,300,244.95,254.9,221.0,230.0,20583213.0,192.0,172.0,184.5,,,,,,3,0.0,0.0,0.0,1.0
UK Main Market,2022-10-31,2022-10-01,2022,BWN,BOWEN FINTECH PLC,New Company Placing,United Kingdom,0.0,Not Identified,Not Identified,4.0,GBX,2.75,No Advisor,2.0,0,2,5.0,5.0,5.0,5.0,0.0,0.0599999986588954,6.25,6.25,,,,,,3,0.0,0.0,0.0,1.0
International Main Market,2022-10-27,2022-10-01,2022,UMR,UNICORN MINERAL RESOURCES PLC,New Company Placing,Ireland,55102000.0,Industrial Metals and Mining,General Mining,10.0,GBX,2.91,No Advisor,0.93,0,0.93,10.5,18.0,10.0,17.5,4449264.0,18.5,0.1850000023841858,12.5,,,,,,1,0.0,1.0,0.0,0.0
UK Main Market,2022-10-24,2022-10-01,2022,ATN,EASTINCO MINING AND EXPLORATION PLC,New Company Placing,United Kingdom,55102000.0,Industrial Metals and Mining,General Mining,1.0,GBX,10.61,No Advisor,0.85,0,0.85,1.100000023841858,1.0,0.8999999761581421,1.100000023841858,342500.0,0.949999988079071,0.949999988079071,0.8500000238418579,,,,,,3,0.0,0.0,0.0,1.0
AIM,2022-10-21,2022-10-01,2022,SND,SONDREL (HOLDINGS) PLC,New Company Placing,United Kingdom,10102010.0,Technology Hardware and Equipment,Semiconductors,55.0,GBX,49.42,Cenkos Securities Plc,20.0,0,20,56.5,59.5,51.66600036621094,58.0,859395.0,58.5,60.5,63.5,54.5,,,,,0,1.0,0.0,0.0,0.0
International Main Market,2022-10-12,2022-10-01,2022,ACG,ACG ACQUISITION COMPANY LIMITED,New Company Placing,British Virgin Islands,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,USD,112.19,No Advisor,113.23,0,113.23,10.100000381469728,10.100000381469728,10.100000381469728,10.024999618530272,250.0,9.925000190734863,9.975000381469728,9.949999809265137,9.850000381469728,,,,,1,0.0,1.0,0.0,0.0
UK Main Market,2022-10-04,2022-10-01,2022,MII,MILTON CAPITAL PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1.0,GBX,1.1,No Advisor,0.95,0,0.95,1.100000023841858,1.1979999542236328,1.190000057220459,1.100000023841858,73969.0,1.100000023841858,1.024999976158142,0.0094999996945261,0.8999999761581421,,,,,3,0.0,0.0,0.0,1.0
AIM,2022-09-15,2022-09-01,2022,AURR,AURRIGO INTERNATIONAL PLC,New Company Placing,United Kingdom,10102015.0,Technology Hardware and Equipment,Electronic Components,48.0,GBX,20.63,Singer Capital Markets Advisory LLP,8.0,0,8,49.5,53.68000030517578,51.5,52.5,134749.0,56.0,56.0,74.0,135.0,,,,,0,1.0,0.0,0.0,0.0
UK Main Market,2022-09-15,2022-09-01,2022,FINA,FINTECH ASIA LIMITED,New Company Placing,Guernsey,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,50.0,GBX,10.37,No Advisor,1.51,0,1.51,54.5,54.5,54.5,54.5,0.0,55.5,55.5,51.5,0.5,,,,,3,0.0,0.0,0.0,1.0
UK Main Market,2022-09-15,2022-09-01,2022,IKIV,IKIGAI VENTURES LIMITED,New Company Placing,Guernsey,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.5,GBP,10.34,No Advisor,2.09,0,2.09,0.5450000166893005,0.5450000166893005,0.5450000166893005,0.5450000166893005,0.0,0.5550000071525574,0.5550000071525574,54.0,0.5099999904632568,,,,,3,0.0,0.0,0.0,1.0
UK Main Market,2022-07-29,2022-07-01,2022,FCM,FIRST CLASS METALS PLC,New Company Placing,United Kingdom,55102000.0,Industrial Metals and Mining,General Mining,10.0,GBX,6.9,No Advisor,1.13,0,1.13,10.5,10.949999809265137,10.199999809265137,10.75,200002.0,10.125,9.375,15.25,14.75,,,,,3,0.0,0.0,0.0,1.0
International Main Market,2022-07-13,2022-07-01,2022,MYSE,MING YANG SMART ENERGY GROUP LIMITED,International Offering (GDR),China,0.0,Not Identified,Not Identified,21.0,USD,0,No Advisor,546.0,0,546,21.0,21.0,21.0,21.0,446000.0,22.200000762939453,20.0,18.0,19.25,,,,,1,0.0,1.0,0.0,0.0
UK Main Market,2022-07-08,2022-07-01,2022,SPMU,SPIRITUS MUNDI PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,5.0,GBX,2.71,No Advisor,0.28,0,0.28,6.0,6.0,6.0,6.0,0.0,0.0700000002980232,4.5,2.75,0.0274999998509883,,,,,3,0.0,0.0,0.0,1.0
