Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650,notes
UK Main Market,2022-10-04,2022-10-01,2022,IPO,MII,MILTON CAPITAL PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1.0,GBX,1.1,,0.95,0,0.95,1.100000023841858,1.1979999542236328,1.190000057220459,1.100000023841858,73969.0,1.100000023841858,1.024999976158142,0.009499999694526196,0.8999999761581421,,,,,
AIM,2022-09-15,2022-09-01,2022,IPO,AURR,AURRIGO INTERNATIONAL PLC,New Company Placing,United Kingdom,10102015.0,Technology Hardware and Equipment,Electronic Components,48.0,GBX,20.63,Singer Capital Markets Advisory LLP,8.0,0,8,49.5,53.68000030517578,51.5,52.5,134749.0,56.0,56.0,74.0,135.0,,,,,
UK Main Market,2022-09-15,2022-09-01,2022,IPO,FINA,FINTECH ASIA LIMITED,New Company Placing,Guernsey,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,50.0,GBX,10.37,,1.51,0,1.51,54.5,54.5,54.5,54.5,0.0,55.5,55.5,51.5,0.5,,,,,delisted https://www.investegate.co.uk/fintech-asia-limited--fina-/rns/proposed-acquisition-and-suspension-of-listing/202303140745418796S/
UK Main Market,2022-09-15,2022-09-01,2022,IPO,IKIV,IKIGAI VENTURES LIMITED,New Company Placing,Guernsey,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.5,GBP,10.34,,2.09,0,2.09,0.5450000166893005,0.5450000166893005,0.5450000166893005,0.5450000166893005,0.0,0.5550000071525574,0.5550000071525574,54.0,0.5099999904632568,,,,,
UK Main Market,2022-07-29,2022-07-01,2022,IPO,FCM,FIRST CLASS METALS PLC,New Company Placing,United Kingdom,55102000.0,Industrial Metals and Mining,General Mining,10.0,GBX,6.9,,1.13,0,1.13,10.5,10.949999809265137,10.199999809265137,10.75,200002.0,10.125,9.375,15.25,14.75,,,,,
International Main Market,2022-07-13,2022-07-01,2022,IPO,MYSE,MING YANG SMART ENERGY GROUP LIMITED,International Offering (GDR),China,,,,21.0,USD, -   ,,546.0,0,546,21.0,21.0,21.0,21.0,446000.0,22.200000762939453,20.0,18.0,19.25,,,,,"Cant find on Yahoo, went to LSE"
UK Main Market,2022-07-08,2022-07-01,2022,IPO,SPMU,SPIRITUS MUNDI PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,5.0,GBX,2.71,,0.28,0,0.28,6.0,6.0,6.0,6.0,0.0,0.07000000029802322,4.5,2.75,0.027499999850988388,,,,,
AIM,2022-07-06,2022-07-01,2022,IPO,LIFS,LIFESAFE HOLDINGS PLC,New Company Placing,United Kingdom,50202020.0,Electronic and Electrical Equipment,Electronic Equipment: Control and Filter,75.0,GBX,17.13,W.H. Ireland Limited,3.0,0,3,77.5,79.5,75.0,77.5,51529.0,70.5,53.5,42.5,48.0,,,,,
UK Main Market,2022-07-01,2022-07-01,2022,IPO,ALTE,ALTERATION EARTH PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.07,GBP,4.95,,1.26,0,1.26,27.5,45.0,45.0,30.0,570.0,15.0,0.15000000596046448,10.0,15.0,,,,,
AIM,2022-05-24,2022-05-01,2022,IPO,ENSI,ENSILICA PLC,New Company Placing,United Kingdom,,,,50.0,GBX,40.25,Allenby Capital Limited,6.0,0.15,6.15,53.5,57.0,50.0,51.0,174692.0,50.5,46.0,49.5,67.0,,,,,
UK Main Market,2022-05-06,2022-05-01,2022,IPO,KEN,KENDRICK RESOURCES PLC,New Company Placing,United Kingdom,55102000.0,Industrial Metals and Mining,General Mining,3.5,GBX,8.51,,3.25,0,3.25,3.875,3.5,3.0,3.25,1859947.0,2.799999952316284,2.25,1.5499999523162842,1.225000023841858,,,,,
International Main Market,2022-04-13,2022-04-01,2022,IPO,FINS,FINANCIALS ACQUISITION CORP,New Company Placing,Cayman Islands,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1000.0,GBX,153.35,,154.5,0,154.5,1000.2000122070312,1000.2000122070312,1000.0,991.5,1188452.0,997.5,992.5,995.0,995.0,10.350000381469727,,,,
UK Main Market,2022-04-08,2022-04-01,2022,IPO,1SN,FIRST TIN PLC,New Company Placing,United Kingdom,55102050.0,Industrial Metals and Mining,Nonferrous Metals,30.0,GBX,86.3,,20.0,0,20,32.5,31.5,28.260000228881836,30.0,489405.0,29.5,21.0,15.0,10.625,6.5,,,,
UK Main Market,2022-04-08,2022-04-01,2022,IPO,ARA,AURA RENEWABLE ACQUISITIONS PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,GBX,1.58,,1.0,0,1,15.0,18.5,11.0,17.0,261771.0,15.25,11.5,9.0,7.5,5.0,,,,
UK Main Market,2022-04-07,2022-04-01,2022,IPO,AJAX,AJAX RESOURCES PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.04,GBP,2.34,,1.34,0,1.34,5.0,4.900000095367432,4.5,4.75,286078.0,5.099999904632568,4.599999904632568,0.042500000447034836,4.25,9.0,,,,
UK Main Market,2022-04-05,2022-04-01,2022,IPO,OFG,OCTOPUS FUTURE GENERATIONS VCT PLC,Offer for Subscription - New Company,United Kingdom,,,,100.0,GBX,17.9,,17.9,0,17.9,0.9700000286102295,0.9700000286102295,0.9700000286102295,0.9700000286102295,0.0,1.0,1.0,1.0,100.0,93.0,,,,No volume
UK Main Market,2022-03-25,2022-03-01,2022,IPO,BRS,BEACON RISE HOLDINGS PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,100.0,GBX,2.81,,1.07,0,1.07,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,0.8999999761581421,,,,
UK Main Market,2022-03-23,2022-03-01,2022,IPO,RCGH,RC365 HOLDING PLC,New Company Placing,United Kingdom,50205015.0,Industrial Support Services,Transaction Processing Services,6.2,GBX,7.53,,2.02,0,2.02,7.0,7.0,7.0,7.0,0.0,8.5,10.0,0.15000000596046448,0.20000000298023224,21.0,,,,
AIM,2022-03-17,2022-03-01,2022,IPO,CTL,CLEANTECH LITHIUM PLC,New Company Placing,Jersey,55102050.0,Industrial Metals and Mining,Nonferrous Metals,30.0,GBX,26.48,Beaumont Cornish Limited,5.6,0,5.6,33.5,36.70000076293945,33.75,35.5,406649.0,35.20000076293945,28.0,27.0,61.599998474121094,63.400001525878906,,,,
UK Main Market,2022-03-16,2022-03-01,2022,IPO,NEOA,NEW ENERGY ONE ACQUISITION CORPORATION PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1000.0,GBX,172.99,,175.0,0,175,1000.0,1000.0,1000.0,993.0,1000.0,995.5,10.079999923706055,990.0,9.899999618530273,10.199999809265137,,,,
UK Main Market,2022-03-09,2022-03-01,2022,IPO,CODX,CODEX ACQUISITIONS PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,GBX,1.28,,0.8,0.05,0.85,15.0,15.0,15.0,15.0,0.0,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.125,,,,
UK Main Market,2022-03-04,2022-03-01,2022,IPO,TMOR,MORE ACQUISITIONS PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.01,GBP,1.5,,1.2,0.05,1.25,1.2000000476837158,1.2799999713897705,1.100000023841858,1.149999976158142,17311253.0,1.100000023841858,1.125,1.100000023841858,0.9750000238418579,0.009499999694526196,,,,
UK Main Market,2022-03-02,2022-03-01,2022,IPO,URAH,URA HOLDINGS PLC,New Company Placing,United Kingdom,55102000.0,Industrial Metals and Mining,General Mining,2.0,GBX,3.55,,1.05,0,1.05,2.5,2.1500000953674316,1.75,2.25,209936.0,1.899999976158142,1.975000023841858,1.6749999523162842,1.350000023841858,2.3499999046325684,,,,
International Main Market,2022-03-01,2022-03-01,2022,IPO,HAMA,HAMAK GOLD LIMITED,New Company Placing,British Virgin Islands,55103025.0,Precious Metals and Mining,Gold Mining,10.0,GBX,2.5,,0.96,0,0.96,12.0,10.0,10.0,12.0,450000.0,11.0,9.25,9.25,8.5,10.0,,,,
AIM,2022-02-16,2022-02-01,2022,IPO,CPH2,CLEAN POWER HYDROGEN PLC,New Company Placing,United Kingdom,60102010.0,Alternative Energy,Alternative Fuels ,45.0,GBX,142,Cenkos Securities Plc,30.0,0.47,30.47,53.5,69.0,45.0,61.5,995403.0,61.5,69.5,49.79999923706055,48.0,25.25,,,,
AIM,2022-02-16,2022-02-01,2022,IPO,STG,STRIP TINNING HOLDINGS PLC,New Company Placing,United Kingdom,50202010.0,Electronic and Electrical Equipment,Electrical Components ,185.0,GBX,27.57,Singer Capital Markets Advisory LLP,8.0,2.75,10.75,192.5,200.0,170.0,185.0,320097.0,185.0,157.5,147.5,100.0,55.0,,,,
AIM,2022-02-09,2022-02-01,2022,IPO,IX.,I(X) NET ZERO PLC,New Company Placing,Jersey,30202010.0,Investment Banking and Brokerage Services ,Asset Managers and Custodians,76.0,GBX,62.06,Shore Capital & Corporate Limited,10.68,0,10.68,78.5,77.599998,77.599998,77.0,65.0,77.0,76.5,41.0,25.0,15.0,,,,
AIM,2022-02-07,2022-02-01,2022,IPO,ARV,ARTEMIS RESOURCES LIMITED,New Company Placing,Australia,55102000.0,Industrial Metals and Mining,General Mining,3.75,GBX,59,W.H. Ireland Limited,5.0,0,5,4.25,5.0,3.5,3.75,9566388.0,3.875,3.8499999046325684,2.200000047683716,1.562999963760376,1.4249999523162842,,,,
International Main Market,2022-02-07,2022-02-01,2022,IPO,HMA1,HIRO METAVERSE ACQUISITIONS I S.A.,New Company Placing,Luxembourg,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1000.0,GBX,118.81,,118.11,0,118.11,1003.0,1003.0,1003.0,1003.0,0.0,1000.0,996.0,1005.0,997.5,1025.0,,,,
AIM,2022-02-04,2022-02-01,2022,IPO,HERC,HERCULES SITE SERVICES PLC,New Company Placing,United Kingdom,50101010.0,Construction and Materials ,Construction,50.5,GBX,30.79,SP Angel Corporate Finance LLP,4.0,4,8,52.5,55.0,52.0,50.301185607910156,60121.0,46.070247650146484,45.60014343261719,52.89121627807617,46.202423095703125,54.55818176269531,,,,
UK Main Market,2022-01-28,2022-01-01,2022,IPO,ACPE,ACP ENERGY PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,5.0,GBX,3.03,,0.83,0,0.83,6.5,6.5,6.5,6.5,0.0,6.75,6.800000190734863,0.06499999761581421,0.05999999865889549,0.06499999761581421,,,,
UK Main Market,2022-01-17,2022-01-01,2022,IPO,GENF,GENFLOW BIOSCIENCES PLC,New Company Placing,United Kingdom,20103010.0,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,8.0,GBX,27.06,,3.76,0,3.76,9.25,11.760000228881836,9.470000267028809,11.5,2162734.0,12.5,12.5,9.5,3.25,2.1500000953674316,,,,
UK Main Market,2022-01-11,2022-01-01,2022,IPO,ELEG,ELECTRIC GUITAR PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,3.0,GBX,1.88,,1.2,0,1.2,3.25,3.4749999046325684,3.424999952316284,3.25,157000.0,3.8499999046325684,3.3499999046325684,3.049999952316284,2.8499999046325684,2.5,,,,
UK Main Market,2022-01-06,2022-01-01,2022,IPO,GPL,GRAFT POLYMER (UK) PLC,New Company Placing,United Kingdom,55201020.0,Chemicals,Specialty Chemicals,21.5,GBX,23.16,,5.0,0,5,22.25,22.46299934387207,21.549999237060547,22.125,471304.0,22.0,22.0,16.299999237060547,16.100000381469727,13.899999618530273,,,,
AIM,2022-01-05,2022-01-01,2022,IPO,ADF,FACILITIES BY ADF PLC,New Company Placing,United Kingdom,50206050.0,Industrial Transportation,Commercial Vehicle-Equipment Leasing,50.0,GBX,39.26,Cenkos Securities Plc,15.0,3.39,18.39,52.0,56.0,50.0,53.920345306396484,1114961.0,64.30867004394531,67.27676391601562,68.26612854003906,62.32994079589844,56.0,,,,
AIM,2021-12-30,2021-12-01,2021,IPO,ATOM,ATOME ENERGY PLC,New Company Placing,United Kingdom,60101010.0,"Oil, Gas and Coal",Oil: Crude Producers,80.0,GBX,27.63,Beaumont Cornish Limited,6.0,0,6,85.0,89.30000305175781,77.0999984741211,80.0,369489.0,80.0,73.5,73.5,100.0,105.5,,,,
International Main Market,2021-12-24,2021-12-01,2021,IPO,MACA,MAC ALPHA LIMITED,New Company Placing,British Virgin Islands,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,100.0,GBX, -   ,,0.7,0,0.7,,,,,,,,,,,,,,
AIM,2021-12-23,2021-12-01,2021,IPO,CTA,CT AUTOMOTIVE GROUP PLC,New Company Placing,United Kingdom,40101025.0,Automobiles and Parts,Auto Parts,147.0,GBX,81.49,Liberum Capital Limited,33.62,0,33.62,160.0,165.0,156.0,160.0,19530.0,160.0,165.0,165.0,162.5,0.949999988079071,,,,
AIM,2021-12-23,2021-12-01,2021,IPO,LIB,LIBERTINE HOLDINGS PLC,New Company Placing,United Kingdom,50204030.0,Industrial Engineering,Machinery: Engines,20.0,GBX,31.07,Panmure Gordon (UK) Limited,9.0,0,9,22.5,32.0,24.8799991607666,30.0,122567.0,37.5,32.5,29.5,22.5,0.14499999582767487,,,,
AIM,2021-12-22,2021-12-01,2021,IPO,APTA,APTAMER GROUP PLC,New Company Placing,United Kingdom,20103010.0,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,117.0,GBX,88.59,SPARK Advisory Partners Limited,10.77,0,10.77,128.5,146.0,131.4499969482422,141.5,193405.0,138.0,142.0,120.0,97.5,62.5,,,,
UK Main Market,2021-12-20,2021-12-01,2021,IPO,GSCU,GREAT SOUTHERN COPPER PLC,New Company Placing,United Kingdom,,,,0.05,GBP,12.75,,3.52,0,3.52,6.0,5.099999904632568,4.409999847412109,4.550000190734863,430024.0,4.900000095367432,4.75,3.700000047683716,4.050000190734863,2.3499999046325684,,,,
International Main Market,2021-12-17,2021-12-01,2021,IPO,ESOZ,EPE SPECIAL OPPORTUNITIES LIMITED,New Company Placing,Bermuda,,,,100.0,GBX,20.5,Numis Securities Limited,20.0,0,20,102.5,100.0,100.0,102.5,53.0,104.5,105.0,105.0,105.0,97.5,,,,
AIM,2021-12-16,2021-12-01,2021,IPO,DSW,DSW CAPITAL PLC,New Company Placing,United Kingdom,30202010.0,Investment Banking and Brokerage Services ,Asset Managers and Custodians,100.0,GBX,22.67,Shore Capital & Corporate Limited,5.0,0,5,106.0,117.5,109.19999694824219,108.6873550415039,96221.0,120.07816314697266,119.60354614257812,99.66962432861328,116.28121948242188,120.0,,,,
AIM,2021-12-16,2021-12-01,2021,IPO,PPHC,"PUBLIC POLICY HOLDING COMPANY, INC.",New Company Placing,United States,50205020.0,Industrial Support Services,Professional Business Support Services,135.0,GBX,151.54,Stifel Nicolaus Europe Limited,11.12,19.53,30.65,139.5,139.5,139.5,135.12542724609375,0.0,137.06271362304688,138.03135681152344,136.0940704345703,142.8745574951172,145.5,,,,
AIM,2021-12-15,2021-12-01,2021,IPO,LBG,LBG MEDIA PLC,New Company Placing,United Kingdom,40301010.0,Media,Entertainment,175.0,GBX,401.14,Zeus Capital Limited,30.0,81.07,111.07,195.0,202.9499969482422,175.0,200.0,725003.0,192.0,191.0,192.5,127.0,67.50499725341797,,,,
UK Main Market,2021-12-14,2021-12-01,2021,IPO,TLEI,THOMASLLOYD ENERGY IMPACT TRUST PLC,New Company Placing,United Kingdom,,,,1.0,USD,89.56,,86.92,0,86.92,1.0299999713897705,1.0299999713897705,1.0299999713897705,1.0199127197265625,0.0,1.0199127197265625,1.1486393213272095,1.183296799659729,1.1022474765777588,1.1399999856948853,,,,
AIM,2021-12-07,2021-12-01,2021,IPO,4GBL,4GLOBAL PLC,New Company Placing,United Kingdom,10101015.0,Software and Computer Services,Software,91.0,GBX,23.71,SPARK Advisory Partners Limited,4.0,0,4,90.0,94.98999786376953,91.80000305175781,95.0,64791.0,88.5,83.5,89.0,71.5,61.5,,,,
AIM,2021-12-06,2021-12-01,2021,IPO,OBI,ONDINE BIOMEDICAL INC.,New Company Placing,Canada,,,,53.41,GBX,108.97,Arden Partners plc,22.26,0,22.26,56.0,58.599998474121094,53.40999984741211,58.0,2436227.0,58.5,55.5,51.5,43.5,25.0,,,,
AIM,2021-12-06,2021-12-01,2021,IPO,WNWD,WINDWARD LTD,New Company Placing,Israel,50205020.0,Industrial Support Services,Professional Business Support Services,155.0,GBX,132.66,Canaccord Genuity Ltd,26.28,8.22,34.5,162.5,173.5,168.0,170.0,70855.0,203.0,220.0,141.0,122.5,65.0,,,,
AIM,2021-12-01,2021-12-01,2021,IPO,SKL,SKILLCAST GROUP PLC,New Company Placing,United Kingdom,10101015.0,Software and Computer Services,Software,37.0,GBX,33.1,finnCap Ltd,3.5,1,4.5,37.0,43.400001525878906,38.79999923706055,42.168033599853516,159319.0,39.71640396118164,36.28411865234375,31.380861282348633,23.535646438598633,18.5,,,,
AIM,2021-11-30,2021-11-01,2021,IPO,GELN,GELION PLC,New Company Placing,United Kingdom,,,,145.0,GBX,160.76,finnCap Ltd,16.04,3,19.04,151.0,155.0,147.0,153.0,243958.0,270.0,157.5,109.0,97.5,53.5,,,,
UK Main Market,2021-11-30,2021-11-01,2021,IPO,HPA1,HAMBRO PERKS ACQUISITION COMPANY LIMITED,New Company Placing,Guernsey,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1000.0,GBX,143.5,,143.5,0,143.5,1000.0,1010.0,1000.0,1000.5,180005.0,1010.0,1000.0,995.0,1000.0,1000.0,,,,
UK Main Market,2021-11-24,2021-11-01,2021,IPO,FSF,FORESIGHT SUSTAINABLE FORESTRY COMPANY PLC,New Company Placing,United Kingdom,,,,100.0,GBX, -   ,,130.0,0,130,100.0,100.0,96.0,98.0,539553.0,93.5,95.5,93.0,114.5,105.0,,,,
AIM,2021-11-23,2021-11-01,2021,IPO,AT.,ASHTEAD TECHNOLOGY HOLDINGS PLC,New Company Placing,United Kingdom,60101030.0,"Oil, Gas and Coal",Oil Equipment and Services,162.0,GBX,130.51,Numis Securities Limited,15.52,36.05,51.57,164.0,170.0,161.0,162.0,433196.0,161.75,164.5,219.0,217.5,306.0,,,,
UK Main Market,2021-11-23,2021-11-01,2021,IPO,ROOF,ATRATO ONSITE ENERGY PLC,New Company Placing,United Kingdom,30204000.0,Closed End Investments,Closed End Investments,100.0,GBX,157.5,,150.0,0,150,105.0,108.0,104.98999786376953,101.5859146118164,4460648.0,102.05840301513672,103.47587585449219,100.54642486572266,104.1888656616211,82.49209594726562,,,,
AIM,2021-11-22,2021-11-01,2021,IPO,ETP,ENERAQUA TECHNOLOGIES PLC,New Company Placing,United Kingdom,50101020.0,Construction and Materials ,"Building, Roofing/Wallboard and Plumbing",277.0,GBX,95.35,finnCap Ltd,12.0,7.99,19.99,287.0,289.6000061035156,280.0,289.0235595703125,86068.0,284.0404052734375,254.14141845703125,279.0572509765625,252.1481475830078,330.0,,,,
AIM,2021-11-19,2021-11-01,2021,IPO,LABS,LIFE SCIENCE REIT PLC,New Company Placing,United Kingdom,35102030.0,Real Estate Investment Trusts,Office REITs,100.0,GBX,357,Panmure Gordon (UK) Limited,350.0,0,350,102.0,102.5,100.0,94.3807601928711,3887902.0,93.91120147705078,94.8503189086914,96.02420043945312,95.55464935302734,71.38263702392578,,,,
UK Main Market,2021-11-19,2021-11-01,2021,IPO,REDC,RED CAPITAL PLC,New Company Placing,Jersey,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,GBX,2.1,,0.4,0,0.4,21.0,25.996999740600586,21.950000762939453,25.5,36243.0,29.5,34.5,34.5,0.3149999976158142,0.3149999976158142,,,,
UK Main Market,2021-11-17,2021-11-01,2021,IPO,TM1,TECHNOLOGY MINERALS PLC,New Company Placing,United Kingdom,55102000.0,Industrial Metals and Mining,General Mining,2.25,GBX,31.52,,1.5,0,1.5,2.5999999046325684,3.8399999141693115,2.799999952316284,3.25,11650194.0,3.799999952316284,3.059999942779541,3.5250000953674316,2.9000000953674316,1.375,,,,
UK Main Market,2021-11-16,2021-11-01,2021,IPO,PINT,PANTHEON INFRASTRUCTURE PLC,New Company Placing,United Kingdom,,,,100.0,GBX,412,,400.0,0,400,103.0,105.0,102.78399658203125,101.72235870361328,5288742.0,101.83987426757812,102.08467864990234,103.79833221435547,105.26717376708984,96.8300552368164,,,,
AIM,2021-11-12,2021-11-01,2021,IPO,FRG,FIRERING STRATEGIC MINERALS PLC,New Company Placing,Cyprus,55102000.0,Industrial Metals and Mining,General Mining,13.0,GBX,13.03,SPARK Advisory Partners Limited,5.91,0,5.91,15.0,15.279999732971191,14.0,14.5,378061.0,13.899999618530273,13.350000381469727,13.0,9.649999618530273,15.625,,,,
